통계표,8.8.2.1 주요국통화의 대원화 환율 통계자료,8.8.2.1 주요국통화의 대원화 환율 통계자료,8.8.2.1 주요국통화의 대원화 환율 통계자료,"4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)","4.1.2 시장금리(월,분기,년)",18.1.1.3 중앙은행 정책금리,18.1.1.3 중앙은행 정책금리,18.1.1.3 중앙은행 정책금리,18.1.1.3 중앙은행 정책금리,4.2.1.1 신규취급액 기준,4.2.2.1 신규취급액 기준,4.2.2.1 신규취급액 기준,2.5.한국은행 원화대출금(말잔)
Jul-15,"1,166.30",,939.28,1.65,1.7,2.05,,1.55,1.5,4.85,,0.13,1.57,3.54,3.17,
Aug-15,"1,176.30",,970.06,1.64,1.7,1.95,,1.53,1.5,4.6,,0.13,1.55,3.57,3.13,
Sep-15,"1,194.50",,996.79,1.6,1.69,1.85,,1.53,1.5,4.6,,0.13,1.54,3.56,3.11,
Oct-15,"1,142.30",,944.09,1.58,1.7,1.78,,1.53,1.5,4.35,,0.13,1.58,3.57,3.06,
Nov-15,"1,150.40",,936.73,1.59,1.74,1.95,,1.57,1.5,4.35,,0.13,1.66,3.56,3.16,
Dec-15,"1,172.00",,972.01,1.67,1.9,1.9,,1.56,1.5,4.35,,0.38,1.72,3.62,3.23,
Jan-16,"1,208.40",182.78,"1,017.13",1.67,1.83,1.77,,1.52,1.5,4.35,,0.38,1.65,3.57,3.28,
Feb-16,"1,235.40",189,"1,085.83",1.64,1.76,1.59,,1.47,1.5,4.35,,0.38,1.58,3.57,3.21,
Mar-16,"1,153.50",177.69,"1,026.02",1.63,1.71,1.61,,1.5,1.5,4.35,,0.38,1.56,3.6,3.24,
Apr-16,"1,143.90",175.95,"1,058.19",1.61,1.7,1.57,,1.51,1.5,4.35,,0.38,1.56,3.55,3.17,
May-16,"1,190.60",180.77,"1,072.76",1.58,1.68,1.55,,1.49,1.5,4.35,,0.38,1.54,3.55,3.16,
Jun-16,"1,164.70",174.67,"1,132.15",1.43,1.56,1.41,,1.35,1.25,4.35,,0.38,1.44,3.41,3.06,
Jul-16,"1,125.70",168.94,"1,073.68",1.36,1.52,1.25,,1.25,1.25,4.35,,0.38,1.32,3.37,2.96,
Aug-16,"1,118.50",167.18,"1,086.29",1.35,1.51,1.26,,1.26,1.25,4.35,,0.38,1.31,3.38,2.95,
Sep-16,"1,096.30",163.97,"1,083.68",1.34,1.5,1.35,,1.3,1.25,4.35,-0.1,0.38,1.35,3.37,3.03,
Oct-16,"1,145.20",168.65,"1,094.42",1.35,1.5,1.41,1.67,1.35,1.25,4.35,-0.1,0.38,1.41,3.38,3.08,
Nov-16,"1,168.50",168.98,"1,038.81",1.42,1.53,1.74,2.05,1.42,1.25,4.35,-0.1,0.38,1.51,3.45,3.2,
Dec-16,"1,208.50",173.26,"1,036.81",1.54,1.65,1.87,2.18,1.42,1.25,4.35,-0.1,0.63,1.56,3.54,3.29,
Jan-17,"1,157.80",169.7,"1,017.89",1.5,1.67,1.82,2.17,1.34,1.25,4.35,-0.1,0.63,1.51,3.55,3.39,
Feb-17,"1,132.10",165.04,"1,004.04",1.49,1.64,1.86,2.21,1.32,1.25,4.35,-0.1,0.63,1.49,3.49,3.38,
Mar-17,"1,116.10",162.27,998.52,1.48,1.64,1.91,2.31,1.34,1.25,4.35,-0.1,0.88,1.49,3.53,3.43,
Apr-17,"1,130.10",163.71,"1,015.96",1.43,1.63,1.86,2.33,1.31,1.25,4.35,-0.1,0.88,1.48,3.42,3.41,
May-17,"1,123.90",164.59,"1,014.30",1.39,1.62,1.91,2.42,1.28,1.25,4.35,-0.1,0.88,1.48,3.45,3.47,
Jun-17,"1,139.60",167.79,"1,017.55",1.38,1.6,1.86,2.28,1.29,1.25,4.35,-0.1,1.13,1.49,3.45,3.41,
Jul-17,"1,119.10",165.85,"1,012.26",1.39,1.59,1.94,2.32,1.28,1.25,4.35,-0.1,1.13,1.48,3.44,3.46,
Aug-17,"1,122.80",170.23,"1,017.44",1.39,1.59,1.99,2.36,1.26,1.25,4.35,-0.1,1.13,1.48,3.44,3.39,
Sep-17,"1,146.70",172.35,"1,020.42",1.38,1.59,1.99,2.32,1.26,1.25,4.35,-0.1,1.13,1.53,3.48,3.41,
Oct-17,"1,125.00",169.25,994.17,1.38,1.59,2.25,2.39,1.33,1.25,4.35,-0.1,1.13,1.63,3.45,3.51,
Nov-17,"1,082.40",164.01,966.51,1.45,1.7,2.36,2.51,1.43,1.5,4.35,-0.1,1.13,1.79,3.54,3.59,
Dec-17,"1,071.40",163.65,949.11,1.66,1.8,2.3,2.41,1.54,1.5,4.35,-0.1,1.38,1.81,3.64,3.61,
Jan-18,"1,071.50",168.99,985.02,1.66,1.8,2.44,2.54,1.54,1.5,4.35,-0.1,1.38,1.8,3.68,3.71,
Feb-18,"1,071.00",170.2,997.25,1.65,1.8,2.54,2.71,1.54,1.5,4.35,-0.1,1.38,1.8,3.69,3.65,
Mar-18,"1,066.50",169.68,"1,001.46",1.65,1.81,2.5,2.68,1.55,1.5,4.35,-0.1,1.63,1.85,3.66,3.69,
Apr-18,"1,076.20",169.94,985.94,1.65,1.82,2.44,2.65,1.55,1.5,4.35,-0.1,1.63,1.82,3.64,3.69,
May-18,"1,081.30",168.27,993.98,1.65,1.82,2.53,2.72,1.56,1.5,4.35,-0.1,1.63,1.84,3.66,3.75,
Jun-18,"1,121.70",169.41,"1,014.79",1.65,1.82,2.44,2.6,1.55,1.5,4.35,-0.1,1.88,1.87,3.63,3.72,
Jul-18,"1,116.70",163.32,"1,005.95",1.65,1.82,2.34,2.47,1.55,1.5,4.35,-0.1,1.88,1.82,3.64,3.73,
Aug-18,"1,108.80",162.29,998.65,1.65,1.81,2.24,2.34,1.57,1.5,4.35,-0.1,1.88,1.81,3.62,3.66,
Sep-18,"1,112.70",161.78,981.17,1.65,1.81,2.13,2.17,1.59,1.5,4.35,-0.1,2.13,1.84,3.62,3.62,
Oct-18,"1,140.60",163.59,"1,008.89",1.68,1.82,2.16,2.19,1.66,1.5,4.35,-0.1,2.13,1.93,3.65,3.64,
Nov-18,"1,121.80",161.73,988.98,1.71,1.85,2.05,2.02,1.71,1.75,4.35,-0.1,2.13,1.96,3.69,3.63,
Dec-18,"1,118.10",162.76,"1,013.18",1.91,1.97,1.89,1.92,1.75,1.75,4.35,-0.1,2.38,2.05,3.77,3.61,
Jan-19,"1,117.20",165.89,"1,024.81",1.87,1.97,1.88,1.99,1.75,1.75,4.35,-0.1,2.38,2,3.81,3.58,
Feb-19,"1,117.80",167.14,"1,007.62",1.87,1.97,1.87,2.02,1.76,1.75,4.35,-0.1,2.38,1.93,3.78,3.5,
Mar-19,"1,137.80",168.74,"1,028.24",1.9,1.98,1.84,1.96,1.77,1.75,4.35,-0.1,2.38,1.95,3.71,3.53,
Apr-19,"1,158.20",171.93,"1,037.02",1.86,1.98,1.77,1.88,1.76,1.75,4.35,-0.1,2.38,1.88,3.71,3.48,
May-19,"1,190.00",171.77,"1,085.82",1.84,1.95,1.72,1.85,1.72,1.75,4.35,-0.1,2.38,1.86,3.67,3.49,
Jun-19,"1,156.80",168.08,"1,073.35",1.8,1.93,1.53,1.66,1.6,1.75,4.35,-0.1,2.38,1.79,3.58,3.25,
Jul-19,"1,182.00",171.57,"1,088.45",1.68,1.86,1.42,1.51,1.52,1.5,4.35,-0.1,2.38,1.69,3.52,3.12,
Aug-19,"1,215.20",169.48,"1,140.66",1.49,1.73,1.2,1.25,1.32,1.5,4.25,-0.1,2.13,1.52,3.32,2.92,
Sep-19,"1,201.30",168.52,"1,113.40",1.54,1.72,1.35,1.38,1.29,1.5,4.2,-0.1,1.88,1.57,3.42,3.02,
Oct-19,"1,168.40",165.45,"1,074.05",1.46,1.69,1.44,1.56,1.31,1.25,4.2,-0.1,1.63,1.55,3.28,3.01,
Nov-19,"1,179.30",167.87,"1,076.89",1.52,1.65,1.59,1.68,1.32,1.25,4.15,-0.1,1.63,1.62,3.29,2.96,
Dec-19,"1,157.80",165.74,"1,063.47",1.53,1.67,1.48,1.6,1.33,1.25,4.15,-0.1,1.63,1.6,3.36,2.98,
Jan-20,"1,183.50",169.55,"1,086.68",1.47,1.69,1.48,1.64,1.3,1.25,4.15,-0.1,1.63,1.54,3.32,2.95,
Feb-20,"1,215.90",173.08,"1,109.95",1.42,1.65,1.36,1.56,1.21,1.25,4.05,-0.1,1.63,1.43,3.19,2.9,
Mar-20,"1,222.60",172.43,"1,130.83",1.23,1.65,1.27,1.55,1,0.75,4.05,-0.1,0.13,1.27,2.94,2.88,
Apr-20,"1,225.20",172.83,"1,147.14",1.1,2.12,1.26,1.62,0.76,0.75,3.85,-0.1,0.13,1.2,2.77,2.89,
May-20,"1,239.40",172.63,"1,150.63",1.02,1.92,1.13,1.53,0.67,0.5,3.85,-0.1,0.13,1.07,2.83,2.81,
Jun-20,"1,200.70",169.66,"1,116.05",0.79,1.56,1.13,1.57,0.61,0.5,3.85,-0.1,0.13,0.89,2.75,2.67,
Jul-20,"1,191.40",170.26,"1,137.32",0.79,1.48,1.09,1.56,0.59,0.5,3.85,-0.1,0.13,0.82,2.74,2.62,
Aug-20,"1,185.10",172.31,"1,123.00",0.68,1.43,1.09,1.57,0.59,0.5,3.85,-0.1,0.13,0.81,2.68,2.55,
Sep-20,"1,173.50",171.9,"1,112.06",0.63,1.21,1.19,1.64,0.64,0.5,3.85,-0.1,0.13,0.88,2.7,2.59,
Oct-20,"1,133.40",168.81,"1,083.50",0.63,1.11,1.2,1.64,0.63,0.5,3.85,-0.1,0.13,0.88,2.68,2.64,
Nov-20,"1,104.40",168.02,"1,061.57",0.66,1.1,1.3,1.71,0.65,0.5,3.85,-0.1,0.13,0.9,2.72,2.72,
Dec-20,"1,088.00",166.96,"1,054.26",0.66,1.09,1.32,1.78,0.66,0.5,3.85,-0.1,0.13,0.9,2.73,2.79,
Jan-21,"1,114.60",171.45,"1,069.26",0.68,1.03,1.32,1.84,0.55,0.5,3.85,-0.1,0.13,0.87,2.69,2.83,
Feb-21,"1,108.40",171.86,"1,043.15",0.73,1,1.35,1.98,0.51,0.5,3.85,-0.1,0.13,0.85,2.69,2.81,
Mar-21,"1,133.50",172.35,"1,027.33",0.75,1,1.55,2.1,0.5,0.5,3.85,-0.1,0.13,0.86,2.74,2.88,
Apr-21,"1,107.40",171.2,"1,016.90",0.74,0.98,1.58,2.14,0.49,0.5,3.85,-0.1,0.13,0.84,2.68,2.91,
May-21,"1,116.00",175.22,"1,015.70",0.68,0.97,1.65,2.25,0.47,0.5,3.85,-0.1,0.13,0.83,2.67,2.89,
Jun-21,"1,130.00",174.84,"1,022.12",0.66,0.97,1.7,2.19,0.5,0.5,3.85,-0.1,0.13,0.94,2.72,2.92,
Jul-21,"1,147.40",177.12,"1,048.48",0.69,0.97,1.69,2.04,0.6,0.5,3.85,-0.1,0.13,0.97,2.69,2.98,
Aug-21,"1,164.40",180.09,"1,058.88",0.77,1,1.65,1.96,0.67,0.75,3.85,-0.1,0.13,1.03,2.78,3.1,
Sep-21,"1,184.90",183.03,"1,058.18",0.98,1.15,1.79,2.06,0.77,0.75,3.85,-0.1,0.13,1.17,2.88,3.18,
Oct-21,"1,171.70",183.08,"1,031.65",1.08,1.2,2.15,2.31,0.81,0.75,3.85,-0.1,0.13,1.29,2.94,3.46,
Nov-21,"1,193.40",186.8,"1,049.56",1.17,1.34,2.17,2.32,0.89,1,3.85,-0.1,0.13,1.57,3.12,3.61,
Dec-21,"1,185.50",186.26,"1,030.24",1.27,1.54,1.98,2.22,1,1,3.8,-0.1,0.13,1.7,3.14,3.66,
Jan-22,"1,202.40",189.34,"1,042.80",1.39,1.6,2.28,2.4,1.18,1.25,3.7,-0.1,0.13,1.65,3.3,3.91,
Feb-22,"1,202.70",190.41,"1,041.52",1.5,1.64,2.5,2.58,1.22,1.25,3.7,-0.1,0.13,,,,
1) 8.8.2.1 주요국통화의 대원화 환율 통계자료,,,,,,,,,,,,,,,,
통계담당 : 한국은행 국제국 외환시장팀(02-759-5969),,,,,,,,,,,,,,,,
주 : 8.8.1 자료 이용,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2) 4.1.2 시장금리(월,분기,년),,,,,,,,,,,,,,
통계담당 : 한국은행 금융시장국 채권시장팀(02-759-5630),,,,,,,,,,,,,,,,
주 : 1) 월평균(영업일기준),,,,,,,,,,,,,,,,
2) 국고채(30년) : 2012.9월부터 발행,,,,,,,,,,,,,,,,
3) 통안증권(1년) : 2011.5.1부터 364일물(할인채)에서 1년물(이표채)로 고시기준 변경,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3) 18.1.1.3 중앙은행 정책금리,,,,,,,,,,,,,,,,
통계담당 : 통계정보팀(02-759-5317),,,,,,,,,,,,,,,,
주 : 1) 출처 : 국제결제은행(BIS),,,,,,,,,,,,,,,,
2) 통계표 : Central Bank Policy Rate, Percent per year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(통계이용시 유의사항),,,,,,,,,,,,,,,,
- 데이터 입수에 1~2 영업일 정도가 소요되니 급하게 자료가 필요한 경우에는 통계작성기관에서 이용 바람,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4) 4.2.1.1 신규취급액 기준,,,,,,,,,,,,,,,,
통계담당 : 한국은행 경제통계국 금융통계팀(02-759-5266),,,,,,,,,,,,,,,,
주 : * 최종월 수치는 잠정치,,,,,,,,,,,,,,,,
1) 요구불예금 및 수시입출식저축성예금 제외,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5) 4.2.2.1 신규취급액 기준,,,,,,,,,,,,,,,,
통계담당 : 한국은행 경제통계국 금융통계팀(02-759-5266),,,,,,,,,,,,,,,,
주 : undefined,,,,,,,,,,,,,,,,
